#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield	MassLower
# Dc1865zer	 1.864600	0.00000e+00	  0.0	  0.5	  0.5	0	0	1	0	1	0	      421	3.22736e-07	   1.8646
# 1:pbar [GeV]	2:m [GeV]	3:feq 1	4:feq 2	5:fshear 1	6:fshear 2	7:fshear 3	8:fbulk 1	9:fbulk 2	10:ftemperature 1	11:ftemperature 2	12:fvelocity 1	13:fvelocity 2	14:fvelocity 3 	15:fdiff 1	16:fdiff 2	17:fdiff3
    2.97532e-03	    1.86460e+00	    8.44405e-08	    9.01642e-08	    8.16625e-13	    9.21780e-09	    8.78922e-13	    1.65594e-07	    1.80987e-07	    1.13071e-06	    1.21825e-06	    2.62609e-10	    1.67896e-06	    2.81465e-10	    2.62609e-10	    1.67896e-06	    2.81464e-10
    5.95069e-03	    1.86460e+00	    1.68874e-07	    1.80321e-07	    6.53285e-12	    1.84397e-08	    7.03122e-12	    3.31170e-07	    3.61955e-07	    2.26135e-06	    2.43641e-06	    1.05041e-09	    1.67967e-06	    1.12583e-09	    1.05040e-09	    1.67967e-06	    1.12582e-09
    8.92617e-03	    1.86460e+00	    2.53295e-07	    2.70464e-07	    2.20476e-11	    2.76699e-08	    2.37295e-11	    4.96714e-07	    5.42887e-07	    3.39182e-06	    3.65440e-06	    2.36329e-09	    1.68084e-06	    2.53298e-09	    2.36329e-09	    1.68084e-06	    2.53297e-09
    1.19018e-02	    1.86460e+00	    3.37696e-07	    3.60586e-07	    5.22584e-11	    3.69125e-08	    5.62449e-11	    6.62208e-07	    7.23764e-07	    4.52205e-06	    4.87212e-06	    4.20112e-09	    1.68248e-06	    4.50275e-09	    4.20111e-09	    1.68248e-06	    4.50274e-09
    1.48776e-02	    1.86460e+00	    4.22071e-07	    4.50679e-07	    1.02061e-10	    4.61716e-08	    1.09846e-10	    8.27635e-07	    9.04568e-07	    5.65196e-06	    6.08949e-06	    6.56366e-09	    1.68459e-06	    7.03491e-09	    6.56364e-09	    1.68459e-06	    7.03489e-09
    1.78538e-02	    1.86460e+00	    5.06413e-07	    5.40737e-07	    1.76347e-10	    5.54513e-08	    1.89799e-10	    9.92978e-07	    1.08528e-06	    6.78147e-06	    7.30643e-06	    9.45063e-09	    1.68716e-06	    1.01291e-08	    9.45060e-09	    1.68716e-06	    1.01291e-08
    2.08302e-02	    1.86460e+00	    5.90716e-07	    6.30753e-07	    2.80007e-10	    6.47557e-08	    3.01366e-10	    1.15822e-06	    1.26588e-06	    7.91050e-06	    8.52283e-06	    1.28617e-08	    1.69021e-06	    1.37851e-08	    1.28616e-08	    1.69021e-06	    1.37850e-08
    2.38070e-02	    1.86460e+00	    6.74973e-07	    7.20718e-07	    4.17926e-10	    7.40890e-08	    4.49804e-10	    1.32335e-06	    1.44636e-06	    9.03896e-06	    9.73863e-06	    1.67964e-08	    1.69372e-06	    1.80022e-08	    1.67964e-08	    1.69372e-06	    1.80022e-08
    2.67842e-02	    1.86460e+00	    7.59177e-07	    8.10628e-07	    5.94983e-10	    8.34553e-08	    6.40364e-10	    1.48834e-06	    1.62669e-06	    1.01668e-05	    1.09537e-05	    2.12543e-08	    1.69769e-06	    2.27801e-08	    2.12543e-08	    1.69769e-06	    2.27801e-08
    2.97619e-02	    1.86460e+00	    8.43322e-07	    9.00473e-07	    8.16054e-10	    9.28587e-08	    8.78294e-10	    1.65319e-06	    1.80685e-06	    1.12939e-05	    1.21680e-05	    2.62349e-08	    1.70214e-06	    2.81182e-08	    2.62348e-08	    1.70214e-06	    2.81181e-08
    3.27401e-02	    1.86460e+00	    9.27402e-07	    9.90248e-07	    1.08601e-09	    1.02303e-07	    1.16883e-09	    1.81786e-06	    1.98683e-06	    1.24202e-05	    1.33814e-05	    3.17376e-08	    1.70705e-06	    3.40158e-08	    3.17375e-08	    1.70705e-06	    3.40157e-08
    3.57189e-02	    1.86460e+00	    1.01141e-06	    1.07994e-06	    1.40970e-09	    1.11793e-07	    1.51721e-09	    1.98236e-06	    2.16661e-06	    1.35456e-05	    1.45939e-05	    3.77616e-08	    1.71242e-06	    4.04721e-08	    3.77615e-08	    1.71242e-06	    4.04719e-08
    3.86983e-02	    1.86460e+00	    1.09533e-06	    1.16970e-06	    1.79200e-09	    1.21332e-07	    1.92865e-09	    2.14664e-06	    2.34646e-06	    1.46700e-05	    1.58073e-05	    4.43064e-08	    1.71826e-06	    4.74858e-08	    4.43062e-08	    1.71826e-06	    4.74857e-08
    4.16785e-02	    1.86460e+00	    1.17918e-06	    1.25921e-06	    2.23773e-09	    1.30925e-07	    2.40837e-09	    2.31073e-06	    2.52577e-06	    1.57935e-05	    1.70174e-05	    5.13710e-08	    1.72456e-06	    5.50579e-08	    5.13708e-08	    1.72456e-06	    5.50578e-08
    4.46593e-02	    1.86460e+00	    1.26294e-06	    1.34856e-06	    2.75175e-09	    1.40575e-07	    2.96157e-09	    2.47458e-06	    2.70469e-06	    1.69158e-05	    1.82255e-05	    5.89546e-08	    1.73132e-06	    6.31858e-08	    5.89545e-08	    1.73132e-06	    6.31856e-08
    4.76410e-02	    1.86460e+00	    1.34659e-06	    1.43781e-06	    3.33887e-09	    1.50286e-07	    3.59344e-09	    2.63817e-06	    2.88335e-06	    1.80368e-05	    1.94323e-05	    6.70564e-08	    1.73855e-06	    7.18684e-08	    6.70562e-08	    1.73855e-06	    7.18682e-08
    5.06235e-02	    1.86460e+00	    1.43013e-06	    1.52701e-06	    4.00392e-09	    1.60063e-07	    4.30916e-09	    2.80150e-06	    3.06185e-06	    1.91566e-05	    2.06386e-05	    7.56753e-08	    1.74624e-06	    8.11054e-08	    7.56751e-08	    1.74624e-06	    8.11051e-08
    5.36068e-02	    1.86460e+00	    1.51357e-06	    1.61609e-06	    4.75169e-09	    1.69910e-07	    5.11391e-09	    2.96455e-06	    3.24004e-06	    2.02750e-05	    2.18434e-05	    8.48103e-08	    1.75439e-06	    9.08954e-08	    8.48101e-08	    1.75438e-06	    9.08951e-08
    5.65912e-02	    1.86460e+00	    1.59689e-06	    1.70505e-06	    5.58699e-09	    1.79831e-07	    6.01285e-09	    3.12729e-06	    3.41790e-06	    2.13920e-05	    2.30467e-05	    9.44603e-08	    1.76299e-06	    1.01237e-07	    9.44601e-08	    1.76299e-06	    1.01237e-07
    5.95765e-02	    1.86460e+00	    1.68008e-06	    1.79386e-06	    6.51459e-09	    1.89829e-07	    7.01110e-09	    3.28972e-06	    3.59541e-06	    2.25075e-05	    2.42482e-05	    1.04624e-07	    1.77205e-06	    1.12129e-07	    1.04624e-07	    1.77205e-06	    1.12129e-07
    6.25629e-02	    1.86460e+00	    1.76315e-06	    1.88254e-06	    7.53925e-09	    1.99909e-07	    8.11381e-09	    3.45182e-06	    3.77256e-06	    2.36213e-05	    2.54481e-05	    1.15301e-07	    1.78157e-06	    1.23571e-07	    1.15300e-07	    1.78157e-06	    1.23571e-07
    6.55505e-02	    1.86460e+00	    1.84607e-06	    1.97107e-06	    8.66574e-09	    2.10074e-07	    9.32608e-09	    3.61357e-06	    3.94933e-06	    2.47335e-05	    2.66460e-05	    1.26488e-07	    1.79155e-06	    1.35560e-07	    1.26488e-07	    1.79155e-06	    1.35560e-07
    6.85392e-02	    1.86460e+00	    1.92885e-06	    2.05944e-06	    9.89879e-09	    2.20329e-07	    1.06530e-08	    3.77496e-06	    4.12569e-06	    2.58439e-05	    2.78421e-05	    1.38186e-07	    1.80198e-06	    1.48096e-07	    1.38185e-07	    1.80198e-06	    1.48095e-07
    7.15291e-02	    1.86460e+00	    2.01148e-06	    2.14765e-06	    1.12431e-08	    2.30678e-07	    1.20997e-08	    3.93596e-06	    4.30164e-06	    2.69525e-05	    2.90361e-05	    1.50392e-07	    1.81286e-06	    1.61176e-07	    1.50391e-07	    1.81286e-06	    1.61176e-07
    7.45202e-02	    1.86460e+00	    2.09395e-06	    2.23569e-06	    1.27035e-08	    2.41124e-07	    1.36712e-08	    4.09657e-06	    4.47715e-06	    2.80591e-05	    3.02280e-05	    1.63105e-07	    1.82419e-06	    1.74800e-07	    1.63105e-07	    1.82419e-06	    1.74799e-07
    7.75127e-02	    1.86460e+00	    2.17626e-06	    2.32356e-06	    1.42845e-08	    2.51672e-07	    1.53725e-08	    4.25676e-06	    4.65220e-06	    2.91637e-05	    3.14177e-05	    1.76324e-07	    1.83597e-06	    1.88964e-07	    1.76323e-07	    1.83597e-06	    1.88964e-07
    8.05066e-02	    1.86460e+00	    2.25840e-06	    2.41123e-06	    1.59908e-08	    2.62325e-07	    1.72087e-08	    4.41652e-06	    4.82678e-06	    3.02663e-05	    3.26052e-05	    1.90046e-07	    1.84820e-06	    2.03669e-07	    1.90045e-07	    1.84820e-06	    2.03668e-07
    8.35020e-02	    1.86460e+00	    2.34036e-06	    2.49872e-06	    1.78272e-08	    2.73087e-07	    1.91847e-08	    4.57583e-06	    5.00087e-06	    3.13666e-05	    3.37902e-05	    2.04271e-07	    1.86088e-06	    2.18911e-07	    2.04270e-07	    1.86088e-06	    2.18911e-07
    8.64988e-02	    1.86460e+00	    2.42214e-06	    2.58601e-06	    1.97982e-08	    2.83962e-07	    2.13056e-08	    4.73468e-06	    5.17445e-06	    3.24647e-05	    3.49728e-05	    2.18995e-07	    1.87400e-06	    2.34690e-07	    2.18995e-07	    1.87400e-06	    2.34689e-07
    8.94971e-02	    1.86460e+00	    2.50373e-06	    2.67310e-06	    2.19085e-08	    2.94954e-07	    2.35763e-08	    4.89304e-06	    5.34750e-06	    3.35605e-05	    3.61529e-05	    2.34219e-07	    1.88757e-06	    2.51002e-07	    2.34218e-07	    1.88757e-06	    2.51001e-07
