# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000643493
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    1.40000e-01	    2.75712e-03	    5.26696e-03	    1.11241e-07	    1.58239e-04	    2.68010e-07	    5.52261e-04	    1.80266e-03	    6.70816e-03	    2.79435e-02	    1.94954e-05	    4.21968e-02	    2.51788e-05
    7.25044e-03	    1.40000e-01	    5.50389e-03	    1.05156e-02	    8.90711e-07	    3.14809e-04	    2.13371e-06	    1.09914e-03	    3.59365e-03	    1.33805e-02	    5.58046e-02	    7.78021e-05	    4.22297e-02	    1.00346e-04
    1.08759e-02	    1.40000e-01	    8.23007e-03	    1.57277e-02	    3.01024e-06	    4.68113e-04	    7.14321e-06	    1.63534e-03	    5.36152e-03	    1.99818e-02	    8.35019e-02	    1.74385e-04	    4.22843e-02	    2.24407e-04
    1.45016e-02	    1.40000e-01	    1.09256e-02	    2.08859e-02	    7.14780e-06	    6.16700e-04	    1.67407e-05	    2.15568e-03	    7.09521e-03	    2.64780e-02	    1.10957e-01	    3.08355e-04	    4.23605e-02	    3.95574e-04
    1.81278e-02	    1.40000e-01	    1.35809e-02	    2.59733e-02	    1.39878e-05	    7.59318e-04	    3.22207e-05	    2.65522e-03	    8.78428e-03	    3.28368e-02	    1.38095e-01	    4.78483e-04	    4.24579e-02	    6.11417e-04
    2.17544e-02	    1.40000e-01	    1.61867e-02	    3.09740e-02	    2.42179e-05	    8.94982e-04	    5.46853e-05	    3.12925e-03	    1.04191e-02	    3.90282e-02	    1.64847e-01	    6.83202e-04	    4.25762e-02	    8.68935e-04
    2.53815e-02	    1.40000e-01	    1.87341e-02	    3.58734e-02	    3.85245e-05	    1.02300e-03	    8.50050e-05	    3.57341e-03	    1.19908e-02	    4.50250e-02	    1.91148e-01	    9.20632e-04	    4.27147e-02	    1.16464e-03
    2.90094e-02	    1.40000e-01	    2.12152e-02	    4.06583e-02	    5.75806e-05	    1.14304e-03	    1.23789e-04	    3.98368e-03	    1.34919e-02	    5.08031e-02	    2.16942e-01	    1.18859e-03	    4.28728e-02	    1.49466e-03
    3.26380e-02	    1.40000e-01	    2.36225e-02	    4.53166e-02	    8.20324e-05	    1.25507e-03	    1.71360e-04	    4.35643e-03	    1.49159e-02	    5.63420e-02	    2.42176e-01	    1.48463e-03	    4.30496e-02	    1.85483e-03
    3.62674e-02	    1.40000e-01	    2.59494e-02	    4.98380e-02	    1.12485e-04	    1.35946e-03	    2.27747e-04	    4.68848e-03	    1.62573e-02	    6.16250e-02	    2.66808e-01	    1.80604e-03	    4.32438e-02	    2.24084e-03
    3.98979e-02	    1.40000e-01	    2.81899e-02	    5.42138e-02	    1.49481e-04	    1.45689e-03	    2.92675e-04	    4.97707e-03	    1.75124e-02	    6.66395e-02	    2.90800e-01	    2.14993e-03	    4.34543e-02	    2.64829e-03
    4.35293e-02	    1.40000e-01	    3.03391e-02	    5.84365e-02	    1.93478e-04	    1.54834e-03	    3.65583e-04	    5.21993e-03	    1.86784e-02	    7.13771e-02	    3.14122e-01	    2.51320e-03	    4.36793e-02	    3.07286e-03
    4.71619e-02	    1.40000e-01	    3.23928e-02	    6.25005e-02	    2.44832e-04	    1.63509e-03	    4.45633e-04	    5.41525e-03	    1.97539e-02	    7.58334e-02	    3.36752e-01	    2.89264e-03	    4.39173e-02	    3.51036e-03
    5.07958e-02	    1.40000e-01	    3.43478e-02	    6.64014e-02	    3.03774e-04	    1.71862e-03	    5.31748e-04	    5.56169e-03	    2.07387e-02	    8.00084e-02	    3.58670e-01	    3.28497e-03	    4.41660e-02	    3.95685e-03
    5.44310e-02	    1.40000e-01	    3.62017e-02	    7.01364e-02	    3.70398e-04	    1.80057e-03	    6.22647e-04	    5.65842e-03	    2.16337e-02	    8.39055e-02	    3.79864e-01	    3.68684e-03	    4.44234e-02	    4.40869e-03
    5.80676e-02	    1.40000e-01	    3.79529e-02	    7.37038e-02	    4.44647e-04	    1.88270e-03	    7.16893e-04	    5.70506e-03	    2.24409e-02	    8.75323e-02	    4.00326e-01	    4.09495e-03	    4.46869e-02	    4.86265e-03
    6.17058e-02	    1.40000e-01	    3.96008e-02	    7.71031e-02	    5.26299e-04	    1.96679e-03	    8.12940e-04	    5.70171e-03	    2.31633e-02	    9.08993e-02	    4.20051e-01	    4.50603e-03	    4.49542e-02	    5.31590e-03
    6.53456e-02	    1.40000e-01	    4.11455e-02	    8.03346e-02	    6.14976e-04	    2.05462e-03	    9.09196e-04	    5.64895e-03	    2.38045e-02	    9.40202e-02	    4.39037e-01	    4.91694e-03	    4.52225e-02	    5.76606e-03
    6.89871e-02	    1.40000e-01	    4.25879e-02	    8.33999e-02	    7.10138e-04	    2.14788e-03	    1.00407e-03	    5.54779e-03	    2.43688e-02	    9.69110e-02	    4.57286e-01	    5.32470e-03	    4.54891e-02	    6.21123e-03
    7.26304e-02	    1.40000e-01	    4.39293e-02	    8.63008e-02	    8.11097e-04	    2.24812e-03	    1.09603e-03	    5.39966e-03	    2.48611e-02	    9.95897e-02	    4.74799e-01	    5.72650e-03	    4.57512e-02	    6.64995e-03
