#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield
# pi0139plu	 0.139570	0.00000e+00	  0.0	  1.0	  1.0	1	0	1	0	0	0	      211	0.00101849
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.62517e-03	    1.39570e-01	    2.46696e-03	    8.30361e-03	   -8.62625e-07	    5.40759e-04	   -8.65512e-07	   -3.77858e-04	    2.65616e-03	    2.61890e-03	    5.54110e-02	   -7.46998e-06	    1.05193e-01	    1.06086e-05
    7.25044e-03	    1.39570e-01	    4.93766e-03	    1.65903e-02	   -6.84170e-06	    1.07644e-03	   -6.85056e-06	   -7.39616e-04	    5.32067e-03	    5.33082e-03	    1.10726e-01	   -2.91005e-05	    1.05090e-01	    4.31439e-05
    1.08759e-02	    1.39570e-01	    7.41552e-03	    2.48431e-02	   -2.27609e-05	    1.60219e-03	   -2.27127e-05	   -1.06974e-03	    8.00102e-03	    8.22552e-03	    1.65848e-01	   -6.25902e-05	    1.04922e-01	    9.96910e-05
    1.45016e-02	    1.39570e-01	    9.90329e-03	    3.30446e-02	   -5.28754e-05	    2.11353e-03	   -5.25118e-05	   -1.35382e-03	    1.07031e-02	    1.13863e-02	    2.20677e-01	   -1.04230e-04	    1.04691e-01	    1.83573e-04
    1.81278e-02	    1.39570e-01	    1.24028e-02	    4.11774e-02	   -1.00630e-04	    2.60657e-03	   -9.93244e-05	   -1.57904e-03	    1.34303e-02	    1.48873e-02	    2.75109e-01	   -1.49089e-04	    1.04403e-01	    2.99134e-04
    2.17544e-02	    1.39570e-01	    1.49148e-02	    4.92233e-02	   -1.68464e-04	    3.07816e-03	   -1.65026e-04	   -1.73466e-03	    1.61833e-02	    1.87910e-02	    3.29037e-01	   -1.91254e-04	    1.04066e-01	    4.51460e-04
    2.53815e-02	    1.39570e-01	    1.74385e-02	    5.71642e-02	   -2.57669e-04	    3.52596e-03	   -2.50159e-04	   -1.81236e-03	    1.89594e-02	    2.31462e-02	    3.82348e-01	   -2.24114e-04	    1.03686e-01	    6.46053e-04
    2.90094e-02	    1.39570e-01	    1.99719e-02	    6.49814e-02	   -3.68322e-04	    3.94858e-03	   -3.53886e-04	   -1.80648e-03	    2.17526e-02	    2.79872e-02	    4.34925e-01	   -2.40676e-04	    1.03271e-01	    8.88483e-04
    3.26380e-02	    1.39570e-01	    2.25113e-02	    7.26563e-02	   -4.99267e-04	    4.34556e-03	   -4.74036e-04	   -1.71421e-03	    2.45535e-02	    3.33329e-02	    4.86648e-01	   -2.33884e-04	    1.02829e-01	    1.18405e-03
    3.62674e-02	    1.39570e-01	    2.50519e-02	    8.01700e-02	   -6.48179e-04	    4.71742e-03	   -6.07228e-04	   -1.53565e-03	    2.73496e-02	    3.91868e-02	    5.37392e-01	   -1.96942e-04	    1.02369e-01	    1.53745e-03
    3.98979e-02	    1.39570e-01	    2.75874e-02	    8.75042e-02	   -8.11670e-04	    5.06556e-03	   -7.49067e-04	   -1.27372e-03	    3.01256e-02	    4.55375e-02	    5.87033e-01	   -1.23600e-04	    1.01898e-01	    1.95252e-03
