# Name           Mass       Gamma    deg    Spin    Isospin    I3     Nq      Ns    Naq      Nas       Nc        Nac      MC

# non-strange B-mesons
B5279plu       5.27934     0.0     1       0       0.5     0.5     1       0       0       0          1        0   5279
B5279min       5.27934     0.0     1       0       0.5     -0.5     0       0       1       0          0        1   -5279
B5279zer       5.27966     0.0     1       0       0.5     0.5     1       0       0       0          0        1   52790
B5279zrb       5.27966     0.0     1       0       0.5     -0.5     0       0       1       0          1        0   -52790

B5324plu       5.32471     0.0     3       0       0.5     0.5     1       0       0       0          1        0   5324
B5324min       5.32471     0.0     3       0       0.5     -0.5     0       0       1       0          0        1   -5324
B5324zer       5.32471     0.0     3       0       0.5     0.5     1       0       0       0          0        1   53240
B5324zrb       5.32471     0.0     3       0       0.5     -0.5     0       0       1       0          1        0   -53240

B5721plu       5.7259     0.0     3       0       0.5     0.5     1       0       0       0          1        0   5729
B5721min       5.7259     0.0     3       0       0.5     -0.5     0       0       1       0          0        1   -5729
B5721zer       5.7259     0.0     3       0       0.5     0.5     1       0       0       0          0        1   57290
B5721zrb       5.7259     0.0     3       0       0.5     -0.5     0       0       1       0          1        0   -57290

B5747plu       5.7372     0.0     5       0       0.5     0.5     1       0       0       0          1        0   5732
B5747min       5.7372     0.0     5       0       0.5     -0.5     0       0       1       0          0        1   -5732
B5747zer       5.7372     0.0     5       0       0.5     0.5     1       0       0       0          0        1   57320
B5747zrb       5.7372     0.0     5       0       0.5     -0.5     0       0       1       0          1        0   -57320

# strange B-mesons
Bs5366zer       5.36692     0.0     1       0      0     0.     0       1       0       0          0        1   53660
Bs5366zrb       5.36692     0.0     1       0       0    -0.     0       0       0       1          1        0   -53660

Bs5415zer       5.4154     0.0     3       0      0     0.     0       1       0       0          0        1   54150
Bs5415zrb       5.4154     0.0     3       0       0    -0.     0       0       0       1          1        0   -54150

Bs5830zer       5.82870     0.0     3       0      0     0.     0       1       0       0          0        1   5830
Bs5830zrb       5.82870    0.0     3       0       0    -0.     0       0       0       1          1        0   -5830

Bs5840zer       5.83986     0.0     5       0      0     0.     0       1       0       0          0        1   5840
Bs5840zrb       5.83986    0.0     5      0       0    -0.     0       0       0       1          1        0   -5840

# hidden B-mesons
Etab9398zer       9.3987    0.0     1      0       0    -0.     0       0       0       0          1        1   -9398
Ups9460zer       9.46030    0.0     3      0       0    -0.     0       0       0       0          1        1   -9460
Chib9859zer       9.859    0.0     1      0       0    -0.     0       0       0       0          1        1   -9859
Chib9892zer       9.89278    0.0     3      0       0    -0.     0       0       0       0          1        1   -9892
Hb9899zer       9.8993    0.0     3      0       0    -0.     0       0       0       0          1        1   -9899
Chib9912zer       9.91221    0.0     5      0       0    -0.     0       0       0       0          1        1   -9912
Ups10000zer       10.02326    0.0     3      0       0    -0.     0       0       0       0          1        1   -10000
Ups10163zer       10.1637    0.0     5      0       0    -0.     0       0       0       0          1        1   -10163
Chib10232zer       10.2325    0.0     1      0       0    -0.     0       0       0       0          1        1   -10232
Chib10255zer       10.25546    0.0     3      0       0    -0.     0       0       0       0          1        1   -10255
Hb10259zer       10.2598    0.0     3      0       0    -0.     0       0       0       0          1        1   -10259
Chib10268zer       10.268    0.0     5      0       0    -0.     0       0       0       0          1        1   -10268
Ups10355zer       10.3552    0.0     3      0       0    -0.     0       0       0       0          1        1   -10355


pr0938plu    0.938272081    0.0000000   2     0.5      0.5      0.5     3.      0.     0.      0.        0.       0.       2212
pr0938plb    0.938272081    0.0000000   2     0.5      0.5     -0.5     0.      0.     3.      0.        0.       0.      -2212
Ka0492zer    0.4976110    7.335e-16   1     0.0      0.5     -0.5     1.      0.     0.      1.        0.       0.        311
Ka0492zrb    0.4976110    7.335e-16   1     0.0      0.5      0.5     0.      1.     1.      0.        0.       0.       -311
Ka0492plu    0.4936770    0.0000000   1     0.0      0.5      0.5     1.      0.     0.      1.        0.       0.        321
Ka0492min    0.4936770    0.0000000   1     0.0      0.5     -0.5     0.      1.     1.      0.        0.       0.       -321
pi0139plu    0.13957039    0.0000000   1     0.0      1.       1.      1.      0.     1.      0.        0.       0.        211
pi0139min    0.13957039    0.0000000   1     0.0      1.      -1.      1.      0.     1.      0.        0.       0.       -211
pi0135zer    0.13497680    0.0000000   1     0.0      1.       0.      1.      0.     1.      0.        0.       0.        111
gam000zer    0.0000000    0.0000000   2     1.0      0.       0.      0.      0.     0.      0.        0.       0.         22






