# Name           Mass       Gamma    deg    Spin    Isospin    I3     Nq      Ns    Naq      Nas       Nc        Nac      MC

# non-strange D-mesons
Dc1865zer     1.8646    0.0000000   1      0.0      0.5      0.5    0.       0.     1.      0.        1.        0.     421 
Dc1869plu     1.8693    0.0000000   1      0.0      0.5      0.5    0.       0.     1.      0.        1.        0.     411
Dc2007zer     2.0068    0.0000000   3      0.0      0.5     -0.5    0.       0.     1.      0.        1         0.     423
Dc2010plu     2.0102    0.0000000   3      0.0      0.5      0.5    0.       0.     1.      0.        1.        0.     413

# strange D-mesons
Ds1968plu     1.9683    0.0000000   1      0.0      0.       0.     0.      0.      0.        1.      1.        0.     431

#Charmed lambda's and sigma's
Lc2286plu     2.2864    0.0000000   2      0.5      0.       0.     2.       0.     0.      0.        1.        0.     4122

#no kernel for sigma atm
#Sc2455ppl     2.4530    0.0000000   2      0.5      1.       1.     2.       0.     0.      0.        1.        0.     4222

jp3096zer    3.0968700    0.0000000  3        1.0      0.       0.      0.      0.     0.      0.        1.       1.        443
